id,currentBarWidth,splitOnRecType,stimulusTag,currentMeanLevel,currentAbsContrast,splitOnExperimentDate,celllabel,splitOnDelTag,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
54,-20,"exc","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,8.2338614979878,1.2890817477406,1,54
55,-20,"cell-attach","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,0,0,1,55
56,-20,"exc","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,-3.94209118051572,1.42219562700848,1,56
57,20,"cell-attach","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,0,0,1,57
58,20,"exc","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,3.99057430354766,2.0831340851066,1,58
59,20,"cell-attach","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,4.99750124937531,0,1,59
60,20,"exc","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,-8.03368071425788,11.6862104419537,1,60
61,60,"cell-attach","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,19.9900049975013,0,1,61
62,60,"exc","grating",0.2,0.2,"2016/10/25","Cell2","keep",0.2,-70.8301059529038,8.50526180117218,1,62
63,60,"cell-attach","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,0,0,1,63
64,60,"exc","intensity",0.2,0.2,"2016/10/25","Cell2","keep",0.2,-9.79135325354777,3.72585664665227,1,64
65,-60,"cell-attach","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,79.9600199900055,0,1,65
66,-60,"exc","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,-391.689962989846,3.23061385385822,1,66
67,-60,"cell-attach","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,44.9750124937529,0,1,67
68,-60,"exc","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,-247.946375674933,2.6244388948121,1,68
69,-20,"cell-attach","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,64.9675162418788,0,1,69
70,-20,"exc","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,-222.968974502882,17.0852362511682,1,70
71,-20,"cell-attach","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55.8494282270625,0,1,71
72,-20,"exc","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,-254.812394203684,8.61129948522102,1,72
73,20,"cell-attach","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,64.9675162418787,0,1,73
74,20,"exc","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,-237.661088779254,32.9458350626349,1,74
75,20,"cell-attach","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,64.9675162418788,0,1,75
76,20,"exc","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,-252.646972104797,7.43954549026129,1,76
77,60,"cell-attach","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,79.9600199900054,0,1,77
78,60,"exc","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,-356.448950477502,7.82240227212782,1,78
79,60,"cell-attach","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,69.9650174912544,0,1,79
80,60,"exc","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,-262.314891840564,3.8607481255076,1,80
1,-100,"cell-attach","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,4.99750124937531,0,2,1
2,-100,"exc","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-38.0226487075231,0,2,2
3,-100,"inh","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,36.8476138847173,0,2,3
4,-100,"cell-attach","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,0,0,2,4
5,-100,"exc","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-21.1413567980703,0,2,5
6,-100,"inh","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-86.6841894666033,0,2,6
7,-100,"cell-attach","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,14.9925037481259,0,2,7
8,-100,"exc","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,-140.395885811307,0,2,8
9,-100,"inh","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,-55.4328287616085,0,2,9
10,-100,"cell-attach","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,19.9900049975013,0,2,10
11,-100,"exc","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,-61.0036807762306,0,2,11
12,-100,"inh","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,-19.9825461378394,0,2,12
13,-100,"cell-attach","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,34.9800099950026,0,2,13
14,-100,"exc","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,-302.327337876616,0,2,14
15,-100,"inh","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,-1.90976282542096,0,2,15
16,-100,"cell-attach","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,39.9800099950027,0,2,16
17,-100,"exc","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,-290.667167329156,0,2,17
18,-100,"inh","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,14.1223435887634,0,2,18
19,-100,"cell-attach","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,69.9650174912544,0,2,19
20,-100,"exc","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,-512.699853951307,0,2,20
21,-100,"inh","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,20.0912225854296,0,2,21
22,-100,"cell-attach","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,54.9725137431284,0,2,22
23,-100,"exc","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,-500.102755566367,0,2,23
24,-100,"inh","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,14.2931897351671,0,2,24
25,-73.3333333333333,"cell-attach","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-1.9026128487195,1.9026128487195,2,25
