id,splitOnRecType,splitOnPatchLocation,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,currentPatchLocation_1,currentPatchLocation_2,equivalentIntensity,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
38,"exc","1303   683","intensity","2016/08/10","00152",19,"Cell 1- on parasol","keep",1303,683,0.41114370391321,0.199407172495471,-996.679611730949,167.933609194151,1,38
39,"exc","1161   631","image","2016/08/10","00152",20,"Cell 1- on parasol","keep",1161,631,0.222117263860135,0.199407172495471,-31.3328858742143,10.3005941618285,1,39
40,"exc","1161   631","intensity","2016/08/10","00152",20,"Cell 1- on parasol","keep",1161,631,0.222117263860135,0.199407172495471,-83.6644531874847,16.798887624561,1,40
41,"exc","1114   294","image","2016/08/10","00152",21,"Cell 1- on parasol","keep",1114,294,0.233445210934829,0.199407172495471,-101.14933970424,8.44223165803386,1,41
42,"exc","1114   294","intensity","2016/08/10","00152",21,"Cell 1- on parasol","keep",1114,294,0.233445210934829,0.199407172495471,-97.2236347019746,16.6163983635434,1,42
43,"exc","708  741","image","2016/08/10","00152",22,"Cell 1- on parasol","keep",708,741,0.246157181686804,0.199407172495471,-149.085353710548,19.2352126894704,1,43
44,"exc","708  741","intensity","2016/08/10","00152",22,"Cell 1- on parasol","keep",708,741,0.246157181686804,0.199407172495471,-161.22121342451,16.9559486746455,1,44
45,"exc","1208   520","image","2016/08/10","00152",23,"Cell 1- on parasol","keep",1208,520,0.222011854737411,0.199407172495471,-94.0632941051323,23.7924676511373,1,45
46,"exc","1208   520","intensity","2016/08/10","00152",23,"Cell 1- on parasol","keep",1208,520,0.222011854737411,0.199407172495471,-99.5834622371079,23.6923171939905,1,46
47,"exc","252  337","image","2016/08/10","00152",24,"Cell 1- on parasol","keep",252,337,0.216086858718118,0.199407172495471,-36.1786620755938,14.4426330973649,1,47
48,"exc","252  337","intensity","2016/08/10","00152",24,"Cell 1- on parasol","keep",252,337,0.216086858718118,0.199407172495471,-56.9758295676928,12.4449933183083,1,48
49,"exc","1187   597","image","2016/08/10","00152",25,"Cell 1- on parasol","keep",1187,597,0.195111521489324,0.199407172495471,17.9602361541497,16.2674585575753,1,49
50,"exc","1187   597","intensity","2016/08/10","00152",25,"Cell 1- on parasol","keep",1187,597,0.195111521489324,0.199407172495471,12.0935025533044,20.0621956862708,1,50
51,"exc","377  669","image","2016/08/10","00152",26,"Cell 1- on parasol","keep",377,669,0.21336426949367,0.199407172495471,-9.92412924655704,8.35211405924742,1,51
52,"exc","377  669","intensity","2016/08/10","00152",26,"Cell 1- on parasol","keep",377,669,0.21336426949367,0.199407172495471,-33.0575363427524,12.6422972203958,1,52
