id,splitOnRecType,splitOnExperimentDate,rotation,celllabel,seed,splitOnDelTag,centerSigma,background,contrast,MeanRespOn,SEM,nodeid,leafid
27,"exc","2016/11/16",90,"Cell1",2,"keep",30,0.2,0.9,-30.7007194827609,0,1,27
28,"exc","2016/11/16",135,"Cell1",2,"keep",30,0.2,0.9,-38.4159740047466,0,1,28
29,"exc","2016/11/16",180,"Cell1",2,"keep",30,0.2,0.9,-28.7078039779779,0,1,29
30,"exc","2016/11/16",225,"Cell1",2,"keep",30,0.2,0.9,-14.2781514381069,0,1,30
31,"exc","2016/11/16",270,"Cell1",2,"keep",30,0.2,0.9,-63.1200027015748,0,1,31
32,"exc","2016/11/16",315,"Cell1",2,"keep",30,0.2,0.9,-64.4773807315585,0,1,32
33,"exc","2016/11/16",0,"Cell1",3,"keep",30,0.2,0.9,102.653004302634,0,1,33
34,"exc","2016/11/16",45,"Cell1",3,"keep",30,0.2,0.9,92.3343516818503,0,1,34
35,"exc","2016/11/16",90,"Cell1",3,"keep",30,0.2,0.9,58.6235484382812,0,1,35
36,"exc","2016/11/16",135,"Cell1",3,"keep",30,0.2,0.9,28.7827620698583,0,1,36
37,"exc","2016/11/16",180,"Cell1",3,"keep",30,0.2,0.9,68.0169495386192,0,1,37
38,"exc","2016/11/16",225,"Cell1",3,"keep",30,0.2,0.9,53.7090314951921,0,1,38
39,"exc","2016/11/16",270,"Cell1",3,"keep",30,0.2,0.9,82.7726190217267,0,1,39
40,"exc","2016/11/16",315,"Cell1",3,"keep",30,0.2,0.9,51.5119686883029,0,1,40
41,"exc","2016/11/16",0,"Cell1",4,"keep",40,0.2,0.9,-62.9269653059888,6.55530925977483,1,41
42,"inh","2016/11/16",0,"Cell1",4,"keep",40,0.2,0.9,-6.5626035018797,6.97374615173962,1,42
43,"exc","2016/11/16",45,"Cell1",4,"keep",40,0.2,0.9,-92.1596356830484,10.2179976764926,1,43
44,"inh","2016/11/16",45,"Cell1",4,"keep",40,0.2,0.9,-9.09633236786219,3.46779744843984,1,44
45,"exc","2016/11/16",90,"Cell1",4,"keep",40,0.2,0.9,-81.0943497190573,14.1491099374876,1,45
46,"inh","2016/11/16",90,"Cell1",4,"keep",40,0.2,0.9,-23.2719946413677,10.6974467743094,1,46
47,"exc","2016/11/16",135,"Cell1",4,"keep",40,0.2,0.9,-83.3922003354809,12.1072678588455,1,47
48,"inh","2016/11/16",135,"Cell1",4,"keep",40,0.2,0.9,-28.7717283505203,3.42127288221499,1,48
49,"exc","2016/11/16",180,"Cell1",4,"keep",40,0.2,0.9,-97.9140568967383,20.8519263524405,1,49
50,"inh","2016/11/16",180,"Cell1",4,"keep",40,0.2,0.9,-19.6652311361188,24.4830223929281,1,50
51,"exc","2016/11/16",225,"Cell1",4,"keep",40,0.2,0.9,-69.4053072666131,8.42464987310711,1,51
52,"inh","2016/11/16",225,"Cell1",4,"keep",40,0.2,0.9,-27.0441808033895,22.6039231337816,1,52
53,"exc","2016/11/16",270,"Cell1",4,"keep",40,0.2,0.9,-66.9657066552624,10.9992505727684,1,53
54,"inh","2016/11/16",270,"Cell1",4,"keep",40,0.2,0.9,-20.1765886028933,10.9509208417704,1,54
55,"exc","2016/11/16",315,"Cell1",4,"keep",40,0.2,0.9,-59.1971051445791,14.2998283233265,1,55
56,"inh","2016/11/16",315,"Cell1",4,"keep",40,0.2,0.9,-17.554959812019,26.431318395096,1,56
1,"cell-attach","2016/11/16",0,"Cell2",1,"keep",30,0.2,0.9,-1.44367053330889,1.22247412137435,2,1
2,"cell-attach","2016/11/16",45,"Cell2",1,"keep",30,0.2,0.9,0.56141583613358,0.330234157961435,2,2
3,"cell-attach","2016/11/16",90,"Cell2",1,"keep",30,0.2,0.9,2.97979697744308,2.35099630169836,2,3
