id,splitOnRecType,splitOnExperimentDate,rotation,celllabel,seed,splitOnDelTag,centerSigma,background,contrast,MeanRespOn,SEM,nodeid,leafid
21,"cell-attach","2017/02/07",180,"Cell1",4,"keep",30,0.2,0.9,-1.3643804315086,1.24370143140628,6,21
22,"cell-attach","2017/02/07",225,"Cell1",4,"keep",30,0.2,0.9,-0.848954227604889,0.837764131026997,6,22
23,"cell-attach","2017/02/07",270,"Cell1",4,"keep",30,0.2,0.9,-0.952155600077201,0.829195637598842,6,23
24,"cell-attach","2017/02/07",315,"Cell1",4,"keep",30,0.2,0.9,-1.00897727656415,0.822769951132938,6,24
1,"cell-attach","2017/02/07",0,"Cell2",1,"keep",30,0.2,0.9,0.387540238431677,0.802168714788987,7,1
2,"exc","2017/02/07",0,"Cell2",1,"keep",30,0.2,0.9,-7.27432863154962,1.00445377172275,7,2
3,"inh","2017/02/07",0,"Cell2",1,"keep",30,0.2,0.9,-30.1854657550201,18.6668995851758,7,3
4,"cell-attach","2017/02/07",45,"Cell2",1,"keep",30,0.2,0.9,-0.20629109438139,1.35761586234115,7,4
5,"exc","2017/02/07",45,"Cell2",1,"keep",30,0.2,0.9,-5.86747775106698,1.48383727731176,7,5
6,"inh","2017/02/07",45,"Cell2",1,"keep",30,0.2,0.9,-14.8043773821279,26.4642618911032,7,6
7,"cell-attach","2017/02/07",90,"Cell2",1,"keep",30,0.2,0.9,-0.637837289842281,0.706194699844679,7,7
8,"exc","2017/02/07",90,"Cell2",1,"keep",30,0.2,0.9,-5.974795251887,1.55829762982857,7,8
9,"inh","2017/02/07",90,"Cell2",1,"keep",30,0.2,0.9,-52.8977699792682,7.0244496183371,7,9
10,"cell-attach","2017/02/07",135,"Cell2",1,"keep",30,0.2,0.9,-0.445213679599902,0.409092454469112,7,10
11,"exc","2017/02/07",135,"Cell2",1,"keep",30,0.2,0.9,-5.1988165363282,0.856868801862726,7,11
12,"inh","2017/02/07",135,"Cell2",1,"keep",30,0.2,0.9,-56.2413860771526,11.7950808690126,7,12
13,"cell-attach","2017/02/07",180,"Cell2",1,"keep",30,0.2,0.9,-0.236815031928038,0.246146963184891,7,13
14,"exc","2017/02/07",180,"Cell2",1,"keep",30,0.2,0.9,-6.35961026952139,1.49636990812111,7,14
15,"inh","2017/02/07",180,"Cell2",1,"keep",30,0.2,0.9,-60.832605254468,27.2241009419199,7,15
16,"cell-attach","2017/02/07",225,"Cell2",1,"keep",30,0.2,0.9,-1.61369137673581,1.42195421854778,7,16
17,"exc","2017/02/07",225,"Cell2",1,"keep",30,0.2,0.9,-5.54574169282142,0.938647862484843,7,17
18,"inh","2017/02/07",225,"Cell2",1,"keep",30,0.2,0.9,-61.4357618430124,19.0360609125926,7,18
19,"cell-attach","2017/02/07",270,"Cell2",1,"keep",30,0.2,0.9,0.638201502829337,0.370611976704041,7,19
20,"exc","2017/02/07",270,"Cell2",1,"keep",30,0.2,0.9,-5.48643994500503,0.783124605541882,7,20
21,"inh","2017/02/07",270,"Cell2",1,"keep",30,0.2,0.9,-6.66434632562754,24.3732248938987,7,21
22,"cell-attach","2017/02/07",315,"Cell2",1,"keep",30,0.2,0.9,0.0456446084198822,0.555351522271212,7,22
23,"exc","2017/02/07",315,"Cell2",1,"keep",30,0.2,0.9,-7.71970830128114,0.811753141624894,7,23
24,"inh","2017/02/07",315,"Cell2",1,"keep",30,0.2,0.9,-73.0041269608362,19.1261229605487,7,24
25,"cell-attach","2017/02/07",0,"Cell2",4,"keep",30,0.2,0.9,0,0,7,25
26,"exc","2017/02/07",0,"Cell2",4,"keep",30,0.2,0.9,-5.41098127518592,1.73130497963888,7,26
27,"inh","2017/02/07",0,"Cell2",4,"keep",30,0.2,0.9,-64.7290438058373,18.1587410231035,7,27
28,"cell-attach","2017/02/07",45,"Cell2",4,"keep",30,0.2,0.9,-1.00214797606212,1.00214797606212,7,28
29,"exc","2017/02/07",45,"Cell2",4,"keep",30,0.2,0.9,-11.9084519589955,6.30891377816752,7,29
30,"inh","2017/02/07",45,"Cell2",4,"keep",30,0.2,0.9,-96.4322333448485,19.452068896818,7,30
31,"cell-attach","2017/02/07",90,"Cell2",4,"keep",30,0.2,0.9,0,0,7,31
32,"exc","2017/02/07",90,"Cell2",4,"keep",30,0.2,0.9,-11.0781988211331,0.763775631431157,7,32
33,"inh","2017/02/07",90,"Cell2",4,"keep",30,0.2,0.9,-39.0857317259996,16.5084816543964,7,33
34,"cell-attach","2017/02/07",135,"Cell2",4,"keep",30,0.2,0.9,0,0,7,34
35,"exc","2017/02/07",135,"Cell2",4,"keep",30,0.2,0.9,-5.76972855237424,1.4510546256233,7,35
36,"inh","2017/02/07",135,"Cell2",4,"keep",30,0.2,0.9,-39.2403743120572,16.0892043435385,7,36
37,"cell-attach","2017/02/07",180,"Cell2",4,"keep",30,0.2,0.9,0,0,7,37
38,"exc","2017/02/07",180,"Cell2",4,"keep",30,0.2,0.9,-5.82234166561622,1.27170174541434,7,38
39,"inh","2017/02/07",180,"Cell2",4,"keep",30,0.2,0.9,-88.9195274062898,42.1390937285493,7,39
40,"cell-attach","2017/02/07",225,"Cell2",4,"keep",30,0.2,0.9,0,0,7,40
41,"exc","2017/02/07",225,"Cell2",4,"keep",30,0.2,0.9,-6.16095850858477,1.0076783798639,7,41
42,"inh","2017/02/07",225,"Cell2",4,"keep",30,0.2,0.9,-99.6798645214957,24.9276852615994,7,42
43,"cell-attach","2017/02/07",270,"Cell2",4,"keep",30,0.2,0.9,0,0,7,43
44,"exc","2017/02/07",270,"Cell2",4,"keep",30,0.2,0.9,-12.2936018178813,2.95996964265892,7,44
45,"inh","2017/02/07",270,"Cell2",4,"keep",30,0.2,0.9,-66.9322994088604,19.7968886300237,7,45
46,"cell-attach","2017/02/07",315,"Cell2",4,"keep",30,0.2,0.9,0,0,7,46
47,"exc","2017/02/07",315,"Cell2",4,"keep",30,0.2,0.9,-6.70244803190349,0.464630448845996,7,47
48,"inh","2017/02/07",315,"Cell2",4,"keep",30,0.2,0.9,-84.6214287146806,30.0080203701125,7,48
1,"cell-attach","2017/03/22",0,"Cell1",1,"keep",40,0.2,1,-0.601658374246121,0.658765752522849,8,1
2,"exc","2017/03/22",0,"Cell1",1,"keep",40,0.2,1,-13.1309018278144,3.59238010243013,8,2
3,"cell-attach","2017/03/22",45,"Cell1",1,"keep",40,0.2,1,2.01863609436801,1.14847813962478,8,3
4,"exc","2017/03/22",45,"Cell1",1,"keep",40,0.2,1,-18.7041562830484,4.22622253762737,8,4
5,"cell-attach","2017/03/22",90,"Cell1",1,"keep",40,0.2,1,1.70118317736757,0.535667704391916,8,5
6,"exc","2017/03/22",90,"Cell1",1,"keep",40,0.2,1,-19.8963345971586,5.16806352341997,8,6
7,"cell-attach","2017/03/22",135,"Cell1",1,"keep",40,0.2,1,1.93753066195188,1.26661012019464,8,7
8,"exc","2017/03/22",135,"Cell1",1,"keep",40,0.2,1,-16.84951790077,4.14035912223246,8,8
9,"cell-attach","2017/03/22",180,"Cell1",1,"keep",40,0.2,1,0.58910036643614,0.99774847600937,8,9
10,"exc","2017/03/22",180,"Cell1",1,"keep",40,0.2,1,-17.3040515808356,5.15433759386311,8,10
11,"cell-attach","2017/03/22",225,"Cell1",1,"keep",40,0.2,1,1.11078814105319,0.29912853976949,8,11
12,"exc","2017/03/22",225,"Cell1",1,"keep",40,0.2,1,-16.0104874797232,3.55515668492476,8,12
13,"cell-attach","2017/03/22",270,"Cell1",1,"keep",40,0.2,1,0.590883831962115,0.262555690764034,8,13
14,"exc","2017/03/22",270,"Cell1",1,"keep",40,0.2,1,-18.6142802461991,5.1542580618183,8,14
15,"cell-attach","2017/03/22",315,"Cell1",1,"keep",40,0.2,1,2.06518152767095,1.18507939473518,8,15
16,"exc","2017/03/22",315,"Cell1",1,"keep",40,0.2,1,-18.8286970377775,4.93924751802017,8,16
17,"cell-attach","2017/03/22",0,"Cell1",4,"keep",40,0.2,1,1.09265160773489,1.29427832773209,8,17
18,"exc","2017/03/22",0,"Cell1",4,"keep",40,0.2,1,-17.0861248129188,3.14015212495171,8,18
19,"cell-attach","2017/03/22",45,"Cell1",4,"keep",40,0.2,1,1.17928211166267,1.27207330356812,8,19
20,"exc","2017/03/22",45,"Cell1",4,"keep",40,0.2,1,-15.9333349284277,1.57395295047945,8,20
21,"cell-attach","2017/03/22",90,"Cell1",4,"keep",40,0.2,1,0.455711894242784,1.41773766590958,8,21
22,"exc","2017/03/22",90,"Cell1",4,"keep",40,0.2,1,-12.9868982472712,4.43936694689918,8,22
23,"cell-attach","2017/03/22",135,"Cell1",4,"keep",40,0.2,1,0.732821755963226,0.627192340325648,8,23
24,"exc","2017/03/22",135,"Cell1",4,"keep",40,0.2,1,-25.9004841266449,4.85109399442479,8,24
25,"cell-attach","2017/03/22",180,"Cell1",4,"keep",40,0.2,1,1.49050087670006,1.23629492591246,8,25
26,"exc","2017/03/22",180,"Cell1",4,"keep",40,0.2,1,-13.9970409439682,4.28069754111677,8,26
27,"cell-attach","2017/03/22",225,"Cell1",4,"keep",40,0.2,1,1.56862974597206,1.21361890698383,8,27
28,"exc","2017/03/22",225,"Cell1",4,"keep",40,0.2,1,-18.172650463124,4.08470000546145,8,28
29,"cell-attach","2017/03/22",270,"Cell1",4,"keep",40,0.2,1,0.583896972179447,0.667749809845447,8,29
30,"exc","2017/03/22",270,"Cell1",4,"keep",40,0.2,1,-22.4582434286578,3.69941982056607,8,30
31,"cell-attach","2017/03/22",315,"Cell1",4,"keep",40,0.2,1,0.980799531700144,0.82160807506186,8,31
32,"exc","2017/03/22",315,"Cell1",4,"keep",40,0.2,1,-15.9400166926736,2.80312496811154,8,32
1,"exc","2017/03/22",0,"Cell2",1,"keep",40,0.2,1,-29.5858911217983,5.47149021871977,9,1
2,"exc","2017/03/22",45,"Cell2",1,"keep",40,0.2,1,-39.3810055395714,5.56179539531375,9,2
3,"exc","2017/03/22",90,"Cell2",1,"keep",40,0.2,1,-10.2042993165058,12.7378610027855,9,3
4,"exc","2017/03/22",135,"Cell2",1,"keep",40,0.2,1,-19.6400625279979,4.9972464626396,9,4
5,"exc","2017/03/22",180,"Cell2",1,"keep",40,0.2,1,-21.8423835868095,3.95088804081467,9,5
6,"exc","2017/03/22",225,"Cell2",1,"keep",40,0.2,1,-27.9899018935968,7.28551127058569,9,6
7,"exc","2017/03/22",270,"Cell2",1,"keep",40,0.2,1,-13.4798071226903,8.16988038505894,9,7
8,"exc","2017/03/22",315,"Cell2",1,"keep",40,0.2,1,-19.0960902388129,16.5827742744132,9,8
9,"exc","2017/03/22",0,"Cell2",4,"keep",40,0.2,1,-17.9444619127616,6.22286727046204,9,9
10,"exc","2017/03/22",45,"Cell2",4,"keep",40,0.2,1,-8.46417566803102,13.5375683503654,9,10
11,"exc","2017/03/22",90,"Cell2",4,"keep",40,0.2,1,-60.3368027115399,24.2703999706078,9,11
12,"exc","2017/03/22",135,"Cell2",4,"keep",40,0.2,1,-29.1938551556317,7.02459834183975,9,12
13,"exc","2017/03/22",180,"Cell2",4,"keep",40,0.2,1,-14.9113254006018,9.66296390294489,9,13
14,"exc","2017/03/22",225,"Cell2",4,"keep",40,0.2,1,-6.32448759461792,10.6973217489345,9,14
15,"exc","2017/03/22",270,"Cell2",4,"keep",40,0.2,1,-0.483611200876207,10.2570976758318,9,15
16,"exc","2017/03/22",315,"Cell2",4,"keep",40,0.2,1,-22.9670882797031,7.03071797057658,9,16
1,"cell-attach","2017/03/29",0,"Cell",1,"keep",30,0.2,1,0.204773783936495,0.281440810072303,10,1
2,"exc","2017/03/29",0,"Cell",1,"keep",30,0.2,1,-20.4860476362588,5.10593516995128,10,2
3,"inh","2017/03/29",0,"Cell",1,"keep",30,0.2,1,-16.3369210609488,21.73440771745,10,3
4,"cell-attach","2017/03/29",45,"Cell",1,"keep",30,0.2,1,2.36473985014578,2.21013277138234,10,4
5,"exc","2017/03/29",45,"Cell",1,"keep",30,0.2,1,-39.1864541046737,5.69021831854052,10,5
6,"inh","2017/03/29",45,"Cell",1,"keep",30,0.2,1,7.36822010190826,17.6353840717019,10,6
7,"cell-attach","2017/03/29",90,"Cell",1,"keep",30,0.2,1,-0.449928244589977,1.07056766537225,10,7
8,"exc","2017/03/29",90,"Cell",1,"keep",30,0.2,1,-5.68486339327818,35.7796657205291,10,8
9,"inh","2017/03/29",90,"Cell",1,"keep",30,0.2,1,-24.7053528745531,13.2983914947701,10,9
10,"cell-attach","2017/03/29",135,"Cell",1,"keep",30,0.2,1,-0.396524445199818,0.67752524023496,10,10
11,"exc","2017/03/29",135,"Cell",1,"keep",30,0.2,1,-37.1308099267388,4.7508605106429,10,11
12,"inh","2017/03/29",135,"Cell",1,"keep",30,0.2,1,-38.875256802608,22.6131994730835,10,12
13,"cell-attach","2017/03/29",180,"Cell",1,"keep",30,0.2,1,0.672649953242713,0.546590170657414,10,13
14,"exc","2017/03/29",180,"Cell",1,"keep",30,0.2,1,-24.6523172176663,6.4008914919566,10,14
15,"inh","2017/03/29",180,"Cell",1,"keep",30,0.2,1,-13.4374628936607,12.3931693385445,10,15
16,"cell-attach","2017/03/29",225,"Cell",1,"keep",30,0.2,1,0.951475939834622,0.595382074214113,10,16
17,"exc","2017/03/29",225,"Cell",1,"keep",30,0.2,1,-24.5519779883483,7.60818891648116,10,17
18,"inh","2017/03/29",225,"Cell",1,"keep",30,0.2,1,-5.10897498152108,8.20397717681757,10,18
19,"cell-attach","2017/03/29",270,"Cell",1,"keep",30,0.2,1,1.91977819308979,1.86748103608427,10,19
20,"exc","2017/03/29",270,"Cell",1,"keep",30,0.2,1,-36.2824472056956,7.15811784682291,10,20
21,"inh","2017/03/29",270,"Cell",1,"keep",30,0.2,1,-27.0265181457752,24.3689399017337,10,21
22,"cell-attach","2017/03/29",315,"Cell",1,"keep",30,0.2,1,-1.57935006485024,1.33904313488956,10,22
23,"exc","2017/03/29",315,"Cell",1,"keep",30,0.2,1,-37.8177481494336,6.69705990489714,10,23
24,"inh","2017/03/29",315,"Cell",1,"keep",30,0.2,1,-3.19274841920222,21.0231647552738,10,24
25,"cell-attach","2017/03/29",0,"Cell",4,"keep",30,0.2,1,4.05478417012972,3.02226803669641,10,25
26,"exc","2017/03/29",0,"Cell",4,"keep",30,0.2,1,-30.062385594375,5.60039314315991,10,26
27,"inh","2017/03/29",0,"Cell",4,"keep",30,0.2,1,7.16220951997334,21.04813624295,10,27
28,"cell-attach","2017/03/29",45,"Cell",4,"keep",30,0.2,1,2.33071185634053,0.961464221956847,10,28
29,"exc","2017/03/29",45,"Cell",4,"keep",30,0.2,1,-28.5338862916105,5.13523515349554,10,29
30,"inh","2017/03/29",45,"Cell",4,"keep",30,0.2,1,-89.3448447329059,72.9723276867692,10,30
31,"cell-attach","2017/03/29",90,"Cell",4,"keep",30,0.2,1,2.78354307141622,2.41072877993087,10,31
32,"exc","2017/03/29",90,"Cell",4,"keep",30,0.2,1,-20.1660161507107,3.53582130469259,10,32
33,"inh","2017/03/29",90,"Cell",4,"keep",30,0.2,1,-27.6247553333637,18.2179753846569,10,33
34,"cell-attach","2017/03/29",135,"Cell",4,"keep",30,0.2,1,2.39682056950002,1.4497842108889,10,34
35,"exc","2017/03/29",135,"Cell",4,"keep",30,0.2,1,-22.5594291796645,4.49609464622046,10,35
36,"inh","2017/03/29",135,"Cell",4,"keep",30,0.2,1,-3.05894290757421,23.4859649646986,10,36
37,"cell-attach","2017/03/29",180,"Cell",4,"keep",30,0.2,1,5.94868655433623,4.69323653798405,10,37
38,"exc","2017/03/29",180,"Cell",4,"keep",30,0.2,1,-20.7076046403975,5.26670443140077,10,38
39,"inh","2017/03/29",180,"Cell",4,"keep",30,0.2,1,-16.0840616015281,20.1893720256936,10,39
40,"cell-attach","2017/03/29",225,"Cell",4,"keep",30,0.2,1,-0.631310204466173,1.48673239835474,10,40
41,"exc","2017/03/29",225,"Cell",4,"keep",30,0.2,1,-29.2604871492703,7.84802810285275,10,41
42,"inh","2017/03/29",225,"Cell",4,"keep",30,0.2,1,-16.4201636005959,24.1585605039833,10,42
43,"cell-attach","2017/03/29",270,"Cell",4,"keep",30,0.2,1,2.99383339519799,4.08732079440281,10,43
44,"exc","2017/03/29",270,"Cell",4,"keep",30,0.2,1,-18.7086217206251,5.72643196214194,10,44
45,"inh","2017/03/29",270,"Cell",4,"keep",30,0.2,1,-39.4428414273303,12.148734829109,10,45
46,"cell-attach","2017/03/29",315,"Cell",4,"keep",30,0.2,1,-0.542080158074332,0.473655643166656,10,46
47,"exc","2017/03/29",315,"Cell",4,"keep",30,0.2,1,-19.3228616850212,6.76267890224885,10,47
48,"inh","2017/03/29",315,"Cell",4,"keep",30,0.2,1,-0.572575263217891,39.7462690481967,10,48
