,imageName,Loc_x,Loc_y,cell_id,patchId,spike_NLI,exc_NLI
62,152,1287,606,2016/09/13On parasol2,152-1287-606,1.0,0.243781768265
63,152,533,572,2016/09/13On parasol2,152-533-572,0.122249398213,0.980067587
64,152,690,764,2016/09/13On parasol2,152-690-764,-0.800012452435,1.0
65,152,1286,635,2016/09/13On parasol2,152-1286-635,0.245611116832,0.0600188711249
66,152,1153,358,2016/09/13On parasol2,152-1153-358,0.574469719308,1.0
67,152,1149,340,2016/09/13On parasol2,152-1149-340,1.0,-0.111531265244
68,152,1289,789,2016/09/13On parasol2,152-1289-789,-0.715339931216,0.141890086098
69,152,672,738,2016/09/13On parasol2,152-672-738,1.0,0.719064014409
70,152,357,359,2016/09/13On parasol2,152-357-359,-0.19310979675,0.22914339073
71,152,453,350,2016/09/13On parasol2,152-453-350,1.0,-1.0
72,152,1259,598,2016/09/13On parasol2,152-1259-598,1.0,-0.0180379104054
73,152,1209,261,2016/09/13On parasol2,152-1209-261,0.0425362389327,0.109109497396
74,152,1215,597,2016/09/13On parasol2,152-1215-597,-0.758449151538,1.0
75,152,785,180,2016/09/13On parasol2,152-785-180,0.569381944296,0.610754223064
76,152,1285,697,2016/09/13On parasol2,152-1285-697,-0.45375269351,-0.0306635341099
77,152,1157,301,2016/09/13On parasol2,152-1157-301,-0.725310187007,0.118689976649
78,152,1303,683,2016/09/13On parasol2,152-1303-683,0.136401679241,0.0361321001429
79,152,1161,631,2016/09/13On parasol2,152-1161-631,-0.561425591454,-0.0669992933819
80,152,1114,294,2016/09/13On parasol2,152-1114-294,0.287828245641,0.382648701865
81,152,708,741,2016/09/13On parasol2,152-708-741,1.0,0.220368498335
82,152,1208,520,2016/09/13On parasol2,152-1208-520,0.374923579804,0.237296798033
83,152,252,337,2016/09/13On parasol2,152-252-337,0.448800656207,0.0639666206334
84,152,1187,597,2016/09/13On parasol2,152-1187-597,1.0,-1.0
85,152,377,669,2016/09/13On parasol2,152-377-669,0.21650273895,0.253764038906
