id,splitOnRecType,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,MeanRespOn,SEM,nodeid,leafid
1,"exc","image","2016/08/10","00152",1,"Cell 1- on parasol","keep",-822.143387203186,43.7592008245865,1,1
2,"exc","intensity","2016/08/10","00152",1,"Cell 1- on parasol","keep",-673.196247169537,106.060357557942,1,2
3,"exc","image","2016/08/10","00152",2,"Cell 1- on parasol","keep",-57.4499611304678,20.4371190583653,1,3
4,"exc","intensity","2016/08/10","00152",2,"Cell 1- on parasol","keep",1.2403137509369,16.791635764673,1,4
5,"exc","image","2016/08/10","00152",3,"Cell 1- on parasol","keep",-219.210550473179,34.3986367267685,1,5
6,"exc","intensity","2016/08/10","00152",3,"Cell 1- on parasol","keep",-208.716174820845,34.5484862541075,1,6
7,"exc","image","2016/08/10","00152",4,"Cell 1- on parasol","keep",-43.4720150284546,13.2224890639285,1,7
8,"exc","intensity","2016/08/10","00152",4,"Cell 1- on parasol","keep",-15.4026388303385,10.396486915777,1,8
9,"exc","image","2016/08/10","00152",5,"Cell 1- on parasol","keep",-1.75018437881122,5.1436921108423,1,9
10,"exc","intensity","2016/08/10","00152",5,"Cell 1- on parasol","keep",-65.9670564156005,12.2971341924792,1,10
11,"exc","image","2016/08/10","00152",6,"Cell 1- on parasol","keep",-639.04655787842,101.213927811109,1,11
12,"exc","intensity","2016/08/10","00152",6,"Cell 1- on parasol","keep",-501.336707071935,84.9410102999419,1,12
13,"exc","image","2016/08/10","00152",7,"Cell 1- on parasol","keep",-41.778993063486,10.2029484749412,1,13
14,"exc","intensity","2016/08/10","00152",7,"Cell 1- on parasol","keep",-12.5938419408297,12.1610721780358,1,14
15,"exc","image","2016/08/10","00152",8,"Cell 1- on parasol","keep",-104.847613379053,22.7479106422347,1,15
16,"exc","intensity","2016/08/10","00152",8,"Cell 1- on parasol","keep",-117.665687730189,20.5129670265109,1,16
17,"exc","image","2016/08/10","00152",9,"Cell 1- on parasol","keep",-249.664446292416,41.0991195546681,1,17
18,"exc","intensity","2016/08/10","00152",9,"Cell 1- on parasol","keep",-229.708462461032,37.794558493962,1,18
19,"exc","image","2016/08/10","00152",10,"Cell 1- on parasol","keep",-139.360593808426,38.3181996748864,1,19
20,"exc","intensity","2016/08/10","00152",10,"Cell 1- on parasol","keep",-68.1810863530001,21.0018177043157,1,20
21,"exc","image","2016/08/10","00152",11,"Cell 1- on parasol","keep",-199.395376263809,35.0590568416147,1,21
22,"exc","intensity","2016/08/10","00152",11,"Cell 1- on parasol","keep",-135.162690548677,24.9454508435962,1,22
23,"exc","image","2016/08/10","00152",12,"Cell 1- on parasol","keep",-15.7834214080708,8.51619352439175,1,23
