id,currentBarWidth,splitOnRecType,stimulusTag,currentAbsContrast,currentMeanLevel,splitOnExperimentDate,celllabel,splitOnDelTag,backgroundIntensity,rfSigmaCenter,MeanRespOn,SEM,nodeid,leafid
53,-20,"cell-attach","grating",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,44.9725137431284,0,1,53
54,-20,"exc","grating",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,-253.181138555234,34.9131309702499,1,54
55,-20,"cell-attach","intensity",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,69.9650174912542,0,1,55
56,-20,"exc","intensity",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,-245.162462018444,28.5496563435151,1,56
57,-20,"cell-attach","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55,64.9675162418788,0,1,57
58,-20,"exc","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55,-222.968974502882,17.0852362511682,1,58
59,-20,"cell-attach","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55,55.8494282270625,0,1,59
60,-20,"exc","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55,-254.812394203684,8.61129948522102,1,60
61,20,"cell-attach","grating",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,69.9650174912545,0,1,61
62,20,"exc","grating",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,-249.012808561138,25.1423130641603,1,62
63,20,"cell-attach","intensity",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,69.9650174912543,0,1,63
64,20,"exc","intensity",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,-274.24690919315,11.4678109806937,1,64
65,20,"cell-attach","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55,64.9675162418787,0,1,65
66,20,"exc","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55,-237.661088779254,32.9458350626349,1,66
67,20,"cell-attach","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55,64.9675162418788,0,1,67
68,20,"exc","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55,-252.646972104797,7.43954549026129,1,68
69,60,"cell-attach","grating",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,69.9650174912542,0,1,69
70,60,"exc","grating",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,-245.213714942466,7.23798552116769,1,70
71,60,"cell-attach","intensity",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,69.9650174912543,0,1,71
72,60,"exc","intensity",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,-216.834001412909,11.4646353154319,1,72
73,60,"cell-attach","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55,79.9600199900054,0,1,73
74,60,"exc","grating",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55,-356.448950477502,7.82240227212782,1,74
75,60,"cell-attach","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55,69.9650174912544,0,1,75
76,60,"exc","intensity",0.4,0.4,"2016/10/25","Cell2","keep",0.2,55,-262.314891840564,3.8607481255076,1,76
77,100,"cell-attach","grating",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,64.9675162418787,0,1,77
78,100,"exc","grating",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,-262.818557053272,12.0726501358808,1,78
79,100,"cell-attach","intensity",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,82.3117852838293,0,1,79
80,100,"exc","intensity",0.1,0.4,"2016/10/25","Cell2","keep",0.2,55,-231.433542483176,21.200998242678,1,80
1,-100,"cell-attach","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,4.99750124937531,0,2,1
2,-100,"exc","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-38.0226487075231,0,2,2
3,-100,"inh","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,36.8476138847173,0,2,3
4,-100,"cell-attach","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,0,0,2,4
5,-100,"exc","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-21.1413567980703,0,2,5
6,-100,"inh","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-86.6841894666033,0,2,6
7,-73.3333333333333,"cell-attach","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-1.9026128487195,1.9026128487195,2,7
8,-73.3333333333333,"exc","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-33.8933037851172,0,2,8
9,-73.3333333333333,"inh","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-2.20964180067781,0,2,9
10,-73.3333333333333,"cell-attach","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-0.0463012131896252,0.0463012131896252,2,10
11,-73.3333333333333,"exc","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-47.2034215839165,0,2,11
12,-73.3333333333333,"inh","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-9.42070604570798,0,2,12
13,-46.6666666666667,"cell-attach","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,2.97693588038261,2.01806661836802,2,13
14,-46.6666666666667,"exc","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-40.3609872005912,0,2,14
15,-46.6666666666667,"inh","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-26.677152057139,0,2,15
16,-46.6666666666667,"cell-attach","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,1.81532621316679,3.18217503620852,2,16
17,-46.6666666666667,"exc","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-49.5291330229851,0,2,17
18,-46.6666666666667,"inh","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-19.3956733020599,0,2,18
19,-20,"cell-attach","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-1.92561958883541,3.07687916178928,2,19
20,-20,"exc","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-35.7111634795979,0,2,20
21,-20,"inh","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-6.26211270892774,0,2,21
22,-20,"cell-attach","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,3.19510488372527,1.79989761502536,2,22
23,-20,"exc","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-31.5122918604573,0,2,23
24,-20,"inh","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-24.4403234207201,0,2,24
25,-20,"cell-attach","grating",0.175,0.25,"2017/01/12","Cell","keep",0.2,58,9.99500249875062,0,2,25
26,-20,"exc","grating",0.175,0.25,"2017/01/12","Cell","keep",0.2,58,-35.5814833895076,0,2,26
27,-20,"inh","grating",0.175,0.25,"2017/01/12","Cell","keep",0.2,58,-22.9031348153955,0,2,27
28,-20,"cell-attach","intensity",0.175,0.25,"2017/01/12","Cell","keep",0.2,58,9.99500249875062,0,2,28
29,-20,"exc","intensity",0.175,0.25,"2017/01/12","Cell","keep",0.2,58,-3.32637593792772,0,2,29
