,cell_id,cNLI,mNLI
0,2016/08/10Cell 2 - on parasol,0.0331953214527,0.0842597407907
1,2016/09/13On parasol1,0.117211585764,0.62190565214
2,2016/09/13On parasol2,0.142371034115,0.302209979525
3,2016/09/13On parasol3,0.113367766068,0.325550902158
4,2016/10/11Cell4,0.0697265262768,0.246166689568
5,2016/10/25Cell1,0.700406397857,0.322349996021
6,2016/10/25Cell2,0.856678774603,0.248678363924
7,2016/11/29Cell1,0.0308711389954,0.172097459148
8,2016/12/02Cell2,0.0397197288276,0.22281439383
