id,splitOnRecType,splitOnExperimentDate,celllabel,currentSpotContrast,splitOnDelTag,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
1,"exc","2016/09/13","On parasol2",-0.9,"keep",0.2,47.8783208376583,15.1863078157602,4,1
2,"inh","2016/09/13","On parasol2",-0.9,"keep",0.2,1480.94690413406,130.25968186466,4,2
3,"exc","2016/09/13","On parasol2",-0.75,"keep",0.2,86.6320105002907,13.0215725480065,4,3
4,"inh","2016/09/13","On parasol2",-0.75,"keep",0.2,1159.25626038286,101.707822007901,4,4
5,"exc","2016/09/13","On parasol2",-0.5,"keep",0.2,110.180549336971,4.94322271662113,4,5
6,"inh","2016/09/13","On parasol2",-0.5,"keep",0.2,986.703485633689,60.4071195359749,4,6
7,"exc","2016/09/13","On parasol2",-0.25,"keep",0.2,80.4975382875901,8.01233183896574,4,7
8,"inh","2016/09/13","On parasol2",-0.25,"keep",0.2,412.475752058131,25.9829487334728,4,8
9,"exc","2016/09/13","On parasol2",-0.125,"keep",0.2,28.8686332506379,9.79839708917692,4,9
10,"inh","2016/09/13","On parasol2",-0.125,"keep",0.2,101.022011233508,33.1492216825942,4,10
11,"exc","2016/09/13","On parasol2",0.125,"keep",0.2,-44.1218588036629,14.6708889696833,4,11
12,"inh","2016/09/13","On parasol2",0.125,"keep",0.2,-23.8586346051717,18.1171460960181,4,12
13,"exc","2016/09/13","On parasol2",0.25,"keep",0.2,-70.703085803014,10.9716569747296,4,13
14,"inh","2016/09/13","On parasol2",0.25,"keep",0.2,-29.7517119825346,0.724862956251857,4,14
15,"exc","2016/09/13","On parasol2",0.5,"keep",0.2,-156.003795146274,17.0978640952506,4,15
16,"inh","2016/09/13","On parasol2",0.5,"keep",0.2,25.9535485833198,26.3219269624619,4,16
17,"exc","2016/09/13","On parasol2",0.75,"keep",0.2,-238.095461131795,30.3062248991865,4,17
18,"inh","2016/09/13","On parasol2",0.75,"keep",0.2,111.652782380092,9.04636300436396,4,18
19,"exc","2016/09/13","On parasol2",0.9,"keep",0.2,-266.585177850409,32.4692634275282,4,19
20,"inh","2016/09/13","On parasol2",0.9,"keep",0.2,213.011427479643,22.648223541098,4,20
21,"exc","2016/09/13","On parasol2",1.2,"keep",0.2,-278.913739771309,40.0279354422994,4,21
22,"inh","2016/09/13","On parasol2",1.2,"keep",0.2,276.084573603126,8.32090147070258,4,22
23,"exc","2016/09/13","On parasol2",1.5,"keep",0.2,-302.844115940736,50.357703155003,4,23
24,"inh","2016/09/13","On parasol2",1.5,"keep",0.2,359.084964588829,33.0429666655235,4,24
1,"exc","2016/09/13","On parasol3",-0.9,"keep",0.2,57.353742803755,13.8857806154763,5,1
2,"inh","2016/09/13","On parasol3",-0.9,"keep",0.2,5302.95327289476,353.909140186664,5,2
3,"exc","2016/09/13","On parasol3",-0.75,"keep",0.2,120.671619877968,6.14618572185538,5,3
